project_id;item_number;block_number;plan_number;Area;GSR;Location_Gmaps;;;;
2700007;2281 - 2286;53;1578/ب;4879,6;35%;https://maps.app.goo.gl/qwbC5Ci94qqUz2Lq7;Curves Residence;;;
3300001;1320 - 1324;35;1578/ب;5262,9;35%;https://maps.app.goo.gl/DifeFGjAv9WpT5N6A;Palms Residence Tower;;;
2500001;2235;;2413;2499,5;35%;https://maps.app.goo.gl/MNLvMboBqZvy4Bs98;Alawaly Rise;;;
2500002;2311, 2312;;1863/أب;1620,5;35%;https://maps.app.goo.gl/4bUZT6sQJxZEjW9S8;Alwaly Business Center;;;
2500003;1893 - 1896;;1863/أب;3604,3;35%;https://maps.app.goo.gl/xR2SzVQVdt7hk2bn9;Alawaly Tower;;;
2600001;406 - 409;40;2593/ج;3956,7;35%;https://maps.app.goo.gl/QWVn8XGZvX77hwBC9;Al Adwan Offfice Tower;;;
400002;6 - 12;3;3813;20697,9;;https://maps.app.goo.gl/go263HBNdRdhWa3t6;Osus Prime;;;
400003;4;;3176;37615,5;;https://maps.app.goo.gl/TwpC7XiARtJqGjAr8;Osus Makan;;;
400004;1676/1679;1055;1637/ك;2328,1;;https://maps.app.goo.gl/q863zz1j54jGZ5WZ7;Osus Edge;;;
400005;189 - 192;15;3019;3618,1;35%;https://maps.app.goo.gl/RZ6RBbyAt9gfXLP99;Osus Green Tower;;;
2700009;386 - 391;28;3069;4948,7;35%;https://maps.app.goo.gl/zirc3d46yUCba1UaA;Meem Heights;;;
400006;;;910106060064س/ املعدل;554556;;https://maps.app.goo.gl/tjXB6otJygzXNjNL8;Sajaya by OSUS;;;
1300001;;;;174332;;https://maps.app.goo.gl/aEKyxX8YeuPwKttc6;Eyal Al-Khuzam;;;
1300002;;;;220628;;https://maps.app.goo.gl/1hrj5s57XsUGU9Pz6;Eyal Al Fursan;;;
1300003;;;;;;;Ala Al-Yasmin;;;
1300004;16, 46, 3654;2;4031;128822,2;;https://maps.app.goo.gl/RwBdBm6Y2vVgjemS9;Kaheel;;;
1300005;;;;;;https://maps.app.goo.gl/AyP1qm6rTLmynMHV6;Eyal Al Asala;;;
1300006;;;;238721,8;;https://maps.app.goo.gl/s8abAaEFnEXKGk7n8;Enar;;;
2500004;;;;;;;Andalus Commercial Complex;;;
200002;421;;689;10000,3;;https://maps.app.goo.gl/JBznrtGhK8DDsKA58;Al Majdiah 165;;;
200003;3845/1, 3845/2;;2737;5154,4;60%-75%;https://maps.app.goo.gl/yktTBa85Drivcu216;Al Majdiah 173;;;
200004;;;;;;https://maps.app.goo.gl/XmcduSbuw7gcYatm9;Al-Mashriqiyah 2;;;
200005;2010-2013;;1578/ب;2545,7;60%-75%;https://maps.app.goo.gl/Cwt63ezuWfGvjfmJ7;Al Majdiah 171;;;
200006;787/1, 787/2, 787/4, 787/5;;2113/ب;2216,8;60%-75%;https://maps.app.goo.gl/HxCzA551oH3GujEG9;Al Majdiah 170;;;
200007;627 - 636;66;3057;12561,7;60%-75%;https://maps.app.goo.gl/o6WF5L7hhVHwE2ui6;Al Majdiah 178;;;
200008;;;;;;https://maps.app.goo.gl/ekjyMLJq3ZbhHiHz6;Al-Mashriqiyah 1;;;
200009;5-15;23;3260;16687;60%-75%;https://maps.app.goo.gl/ykfiKjK6BoY19XbHA;Al Majdiah 174;;;
200010;79/1, 81/1, 83/1;;2925;8216;60%;https://maps.app.goo.gl/YkXkasVaRLfDdMfn7;Al Majdiah 166;;;
200011;262 - 269;26;2413;7663,3;60%-75%;https://maps.app.goo.gl/N5PpDmzWVgusvA3GA;Al Majdiah 183;;;
1500003;;;;;;;Opal;;;
4800001;151, 152;203;1324;1540,8;60%;https://maps.app.goo.gl/JQ5TTPsvB2FFRo74A;Wakan 41;;;
4800002;3071 - 3075;;2964;14906,9;;https://maps.app.goo.gl/utXf8shQCYMoTkvm8;Wakan 36;;;
4800003;1333;;2184;744,4;60%-75%;https://maps.app.goo.gl/r4rz1rKFTtkUz4527;Wakan 42;;;
4800004;356, 358, 360, 362, 364, 366, 368, 370;23;3079;2168;60%;https://maps.app.goo.gl/EFHDx589uUPh3Me29;Wakan 038;;;
4800005;357, 359, 361, 363, 365, 367, 369, 371;23;3079;2471,4;60%;https://maps.app.goo.gl/xGyUspudJXu8s5mq9;Wakan 39;;;
4800006;;;;;;https://maps.app.goo.gl/CyEbcGX1mLTe51yQ6;Wakan 46;;;
4800007;1951 - 1956;;1270/د;4874,9;60%-75%;https://maps.app.goo.gl/Yu3NBaSFbM5AD4Do6;Wakan 45;;;
4800008;3001 - 3004;;2964;9992,1;;https://maps.app.goo.gl/NH9wTvwzs3xgB26W8;Wakan 40;;;
1100001;6572 - 6575;278, 280, 281, 293;10107049831/1س/املعدل3;67620,5;;https://maps.app.goo.gl/PC3YwGfrNnFPkCWc8;Safa Al Fursan;;;
1100002;17;;2357;10090,7;60%-75%;https://maps.app.goo.gl/DBYLsNDw7USBgirg9;Safa 78;;;
1100003;60 - 63;6;3359;8829,3;60%-75%;https://maps.app.goo.gl/qcFy9XM4x3ALu1Lv9;Safa 80;;;
1100004;27/28, 29/30, 31/1;8;3236.8;14941,7;60%;https://maps.app.goo.gl/p2bovC7pbmBgRLRG8;Safa 82;;;
100002;;;;301689;;https://maps.app.goo.gl/EW7MJLAHE971XZCG6;Ewan Sedra;;;
100003;;;;296430;;https://maps.app.goo.gl/JqULd2L9UJttWvgb8;Ewan Khuzam;;;
100004;47-4;2;4031;27947,4;;https://maps.app.goo.gl/D9PjG3fCBv97iMrx8;Roya Sedra;;;
100005;;;;155448;;https://maps.app.goo.gl/CAXe4v5pDhZpuvpW7;Nassaj Town Al Fursan;;;
4900001;202, 203;;;5354,8;;https://maps.app.goo.gl/it5cJviCfB9d3cPu6;Dyar Alharam;;;
2000001;818;12;1822/أ;918,7;60%-75%;https://maps.app.goo.gl/ogFjpVrv9ubrzDBX7;Aleen 88;;;
2000002;271;;2040;750,8;60%-75%;https://maps.app.goo.gl/48ddSmaFW6Y5TpYm9;Aleen 90;;;
2000003;22;;1954/د;1048,7;60%-75%;https://maps.app.goo.gl/eGzmjQt5VqtJuqVv6;Aleen 96;;;
2000004;837;;2347;1006,7;60%-75%;https://maps.app.goo.gl/Kw8EqGT9JkK8MKy56;Aleen 102;;;
2000005;1757;;2964;1127,2;60%-75%;https://maps.app.goo.gl/5L4HSMNR8uCF5Uoq9;Aleen 104;;;
2000006;1373;106;2924;1518,7;60%-75%;https://maps.app.goo.gl/L3cpeB6uPo2VgMBGA;Aleen 112;;;
2000007;1133;;209;899,4;60%-75%;https://maps.app.goo.gl/qxujc9mLFTB4E9wg6;Aleen 120;;;
2000008;902/1;115;2726;1127,5;60%-75%;https://maps.app.goo.gl/CYkYCbMY7rXrsuD3A;Aleen 122;;;
2000009;25;;2187;666,6;60%-75%;https://maps.app.goo.gl/2yjQPz8sMKDiB1wz8;Aleen 126;;;
2000010;1143, 1145;93;2837;2001,8;60%-75%;https://maps.app.goo.gl/Uf1qSLWEXREAgz6aA;Aleen 130;;;
2000011;991;;1578/ب;724,3;60%-75%;https://maps.app.goo.gl/21AjRngUkZR3jkp16;Aleen 138;;;
2000012;1030/1;126;2726;957,3;60%-75%;https://maps.app.goo.gl/4mj1uBP5wAPCmJ4H8;Aleen 142;;;
2000013;116;190;1578/أ;910,9;60%-75%;https://maps.app.goo.gl/NcpZKXBoC5McWdgd8;Aleen 144;;;
2000014;48;191;1578/أ;701,2;60%-75%;https://maps.app.goo.gl/Bbk3CyqgZHtRJi8V8;Aleen 146;;;
2000015;511;;2459;857,5;60%-75%;https://maps.app.goo.gl/22EUzjosTJCE5kCCA;Aleen 154;;;
400007;1514, 1515;1053;1637/ك;1599;35%;https://maps.app.goo.gl/BtEPDTzEpPGEq4iP9;Osus Alpha;;;
1200001;;;;;;https://maps.app.goo.gl/EehA1JYYHrDCnTR96;Raffles Residences Jeddah;;;
1200002;;;;;;;MASAR-MAAB;;;
1200003;1370 - 1373;;3114;60007,7;35%;https://maps.app.goo.gl/HKJ2V95DY9ajEA5w7;THEE ERTH;;;
1200004;;;;;;https://maps.app.goo.gl/oKtMX2S7pcEZSsja6;Ezla Residential;;;
1200005;;;;15464;;;Fayan Offices;;;
2400001;;;;;;https://maps.app.goo.gl/nPnyCiJVGp8kuNir5;Sadan Residence;;;
2400002;;;;;;https://maps.app.goo.gl/Uv6h1jhWvRdPvpbE9;Hayat Rise Al Murooj;;;
2300001;1034 - 1041;9;2593/ج;5622;35%;https://maps.app.goo.gl/F14qYiAiwmKRa6MW7;Al Basateen Tower;;;
2300002;1356, 1357;;3114;22621;;https://maps.app.goo.gl/CVgnZjqQFvHZcyxs7;King's Square;;;
1100006;1506, 1507, 1918, 1919, 1920, 1921;1053;1637/ك;5748,3;35%;https://maps.app.goo.gl/1EgPzQFouGtDqLaH8;Safa 99;;;
6200001;207, 208;;2357;9572,8;60%-75%;https://maps.app.goo.gl/6X4m9KuLNzyvyz3R9;Makeen 63;;;
6200002;240;;2357;8190,4;60%-75%;https://maps.app.goo.gl/ThjJAMhMeZ77exTt5;Makeen 64;;;
6200003;45 - 47;8;3300;4325,3;60%-75%;https://maps.app.goo.gl/7HiSHfYdZRgFCCAo7;Makeen 66;;;
6200004;;;;;;https://maps.app.goo.gl/PS6knWQL3LpdcWME8;Al-mashriqya;;;
6200005;1220/1222, 1221/1223;1308;1637/ك;4446,9;60%;https://maps.app.goo.gl/ezvrCAHVhBpD6HDf9;Makeen 72;;;
6200006;401 - 406;59;2030/ب;4248,9;60%-75%;https://maps.app.goo.gl/gaEi8amiFMfzgYCU8;Sana Makeen;;;
500001;;;;;;https://maps.app.goo.gl/3iRaBXtMNw1zJehX7;Rayya Al Nakheel;;;
4300002;;;;16725;;https://maps.app.goo.gl/RxEcuU9sSNV75hRG9;Tuwaiq Center;;;
4300003;;;;35000;;https://maps.app.goo.gl/n61QDQkCsfHT1S5g9;Maha;;;
6300001;;;;;;;Jawharat Al Fursan almarhalat althaania;;;
6300002;;;;;;;Jawharat Khuzam;;;
6300003;;;;;;;Jawharat alrubaa;;;
6400001;;;;;;;Raseen Reagan Hills;;;
6400002;;;;;;;Darat alfursan 2;;;
6400003;;;;;;;Raseen Khuzam;;;
6400004;;;;;;;Raseen Sedra;;;
6400005;;;;;;https://www.google.com/maps?q=24.72607788,46.66383425;Ajdan 2;;;
6500001;;;;;;;Almuhamil 100;;;
6500002;;;;;;;Almuhamil 105;;;
6500003;;;;;;;Almuhamil 115;;;
6500004;;;;;;;Almuhamil 120;;;
6500005;;;;;;;Almuhamil 125;;;
6600001;;;;;;;Allegria 3;;;
6600002;;;;;;;Allegria 4;;;
6700002;;;;;;;Tuwaiq Fund Project 2;;;
6700001;;;;46080;;https://maps.app.goo.gl/ejsQTo4imGAydkhH7;Tuwaiq Fund Project 1;;;
6800001;;;;225000;;https://maps.app.goo.gl/s2z62HKy27qTcL6w9;Abyatona Rose;;;
6900001;;;;;;https://maps.app.goo.gl/LGrVeNLGz1YsuE7V7;Aknan 24;;;
7100001;;;;;;;0;;;
7200001;;;;;;;Burj Hammoud Ibrahim Al-Dhiyab;;;
7300001;;;;;;;Masheed 10;;;
7400001;;;;;;;Dama Al-Mashriqiya;;;
7400002;;;;;;;Al Khayala 28;;;
7500001;;;;;;;The oryx;;;
7600001;;;;;;;Eawalaa Al Fursan;;;
7600002;;;;;;;Eawalaa Al Narjis;;;
7700001;;;;;;;0;;;
7700002;;;;;;;0;;;
7700003;;;;;;;0;;;
7800001;;;;;;;Al-Muruj 3;;;
7900001;;;;;;https://maps.app.goo.gl/69Bx2yUB7wYb3PJ87;Sama Al Fursan 2;;;
7900002;;;;;;https://maps.app.goo.gl/sWy125ESSpqCq7Y5A;Sama Al Fursan;;;
8000001;;;;;;;Aloo 28;;;
8100001;;;;;;;Enbar 10;;;
8200001;;;;;;;Arjan Al-Maghamis;;;
8200002;;;;;;;Arjan Hills;;;
8200003;;;;;;;Arjan Signature;;;
8300001;;;;;;;Park View;;;
8400001;;;;;;;Diyar 31;;;
8400002;;;;;;;Diyar 33;;;
8400003;;;;;;;Diyar 25;;;
8500001;;;;;;;Bada 37;;;
8500002;;;;;;;Bada 36;;;
8500003;;;;;;;Bada 41;;;
8600001;;;;;;;Our House 1;;;
8600002;;;;;;;Our House 2;;;
8700001;;;;;;;Azyan Khuzam;;;
8700002;;;;;;;Azyan Nimar;;;
8700003;;;;;;;Azyan Al Fursan;;;
8800001;;;;;;;Dana Al Janadriyah 2;;;
8800002;;;;;;;Al Rimal 6;;;
8900001;;;;;;;Rizi 24 Hittin;;;
8900002;;;;;;;Rizi 33 Narjis;;;
8900003;;;;;;;Rizi 20 Narjis;;;
8900004;;;;;;;Rizi 24 Al Taeawun;;;
8900005;;;;;;;Rizi 18 Narjis;;;
8900006;;;;;;;Rizi 46 Al Rabie;;;
8900007;;;;;;;Bayat Hills;;;
9000001;;;;;;;Saraya Al Fursan;;;
9000002;;;;;;;Tala Al-Khuzam;;;
9000003;;;;;;;Saraya Homes;;;
9000004;;;;;;;Saraya Al Ruba;;;
9000005;;;;;;;Al Fursan Communities;;;
9000006;;;;;;;Al Narjis Communities;;;
0;;;;;;;Thuraya Tower;;;
9200001;;;;;;;Asdam;;;
9200002;;;;;;;Asas Tamim Real Estate;;;
9300001;;;;;;;Ishraqat Al Asala;;;
9400001;;;;;;;Haven;;;
9400002;;;;;;;La Vista;;;
9500001;;;;;;;Malfa Al Asala;;;
9600001;;;;;;;Al-Basatin Avenue;;;
9600002;;;;;;;Capital Avenue - Qirawan;;;
9600003;;;;;;;Al Hada Avenue;;;
9600004;;;;;;;Diriyah Avenue;;;
9700001;;;;;;;Mashaeil Al Fursan;;;
9800001;;;;;;https://maps.app.goo.gl/DVh4HiK28TyaFXKS7;Jadah 45;;;
9800002;;;;;;;Jadah 44;;;
9800003;;;;;;;Jadah 46;;;
9900001;;;;;;;Maheer 11;;;
9900002;;;;;;;Maheer 12;;;
9900003;;;;;;;Maheer 13;;;
9900004;;;;;;;Maheer 14;;;
9900005;;;;;;;Maheer 15;;;
9900006;;;;;;;Maheer 16;;;
9900007;;;;;;;Maheer 17;;;
9900008;;;;;;;Maheer 19;;;
10000001;;;;;;;View Al Murjan;;;
10000002;;;;;;;View Al Munsiyya;;;
10100001;;;;;;;Najd Palm Residence (King Faisal District);;;
10100002;;;;;;;Najd Palm Residence Al-Khalij;;;
10100003;;;;;;;Najd Palm Residence (Residential Apartments & Penthouses) – Al-Nahda District;;;
10200001;;;;;;;Rasan Fleij;;;
10200002;;;;;;;Rasen Villas;;;
10300001;;;;;;;Canary 015 Residential;;;
10300001;;;;;;;Canary 018 Al Muadhar;;;
10400001;;;;;;;Al Ghosoun;;;
10400002;;;;;;;Al Farouq;;;
10400003;;;;;;;City Gate;;;
10500001;;;;;;https://maps.app.goo.gl/tGjG2Z1LvEL9RJPc7;North Walk;;;
10500002;;;;;;;Tarfa 7;;;
10500003;;;;;;;Tarfa 6;;;
10600001;;;;;;;Project Details Al Narjis;;;
10600002;;;;;;;Project Details Al Munsiyah;;;
10700001;;;;2880;;https://www.google.com/maps?q=24.92705871,46.79662587;Najd 2;;;
10700002;;;;4296,25;;;Najd 3;;;
10700003;;;;6390;;https://maps.app.goo.gl/YoSrcnjihXY4KofWA;Najd 4;;;
10700004;;;;;;;Najd 5;;;
10800001;;;;;;;The Future;;;
10800002;;;;;;;Al Zuhra;;;
10800003;;;;;;;0;;;
10800004;;;;;;;Grove;;;
10800005;;;;;;;Al Daar;;;
0;;;;;;;Badr Residence;;;
0;;;;;;;0;;;
0;;;;;;;0;;;
11000001;;;;;;;Mashariq 1 Project;;;
11000002;;;;;;;Mashariq 2 Project;;;
11000003;;;;;;;Mashariq 4 Project;;;
11100001;;;;;;https://www.google.com/maps?q=24.93343652,46.83866224;Banan;;;
11200001;;;;;;;JAX Clusters;;;
11200002;;;;;;;Al Munsiyah Clusters;;;
11300001;;;;;;;Tam 1;;;
11300002;;;;;;;Tam 2;;;
11300003;;;;;;;Tam 3;;;
11300004;;;;;;;Tam 4;;;
11400001;;;;;;;Nafah;;;
11400002;;;;387000;;;Al Athbah;;;
11500001;;;;;;;Valley;;;
11500002;;;;;;;Uns;;;
11600001;;;;;;;0;;;
11600002;;;;;;;0;;;
11700001;;;;;;;Malfa Residential Tower;;;
11800001;;;;;;;0;;;
11800002;;;;;;;0;;;
11800003;;;;;;;0;;;
11900001;;;;;;;Reef Apartment 46, Al Muhammadiyah District;;;
11900002;;;;;;;Reef Townhouse 47, Al-Arid District;;;
12000001;;;;;;;Navar;;;
3600002;;;;;;;IQONIC Tower;;;
3600003;;;;;;;Jasmine Residence;;;
6000001;;;;;;;Corinthians;;;
6000002;;;;;;;Armani Residences Diriyah;;;
6000003;;;;;;;Raffles Residences Diriyah;;;
6000004;;;;;;;The Oberoi Residences Wadi Safar;;;
6000005;;;;;;;The Ritz-Carlton Residences Signature Collection, Diriyah;;;
6000006;;;;;;;Bakara Residences Diriyah;;;
6000007;;;;;;;Aman Summer Residences Wadi Safar;;;
6000008;;;;;;;Chedi Residences Wadi Safar;;;
6000009;;;;;;;Diriyah Square;;;
6000010;;;;;;;Jabal Al-Qurain Avenue;;;
6000011;;;;;;;Fayina Residences Wadi Safar;;;
6000012;;;;;;;Gate Offices;;;
6000013;;;;;;;The Ritz-Carlton Diriyah;;;
6000014;;;;;;;Al-Hadawi Houses;;;
2100001;;;;;;https://maps.app.goo.gl/nMQzCLMZroSre8fw6;Neptune;;;
2100002;;;;;;https://maps.app.goo.gl/insUsy4XUwL1ojS97;Rayana;;;
2100003;;;;;;https://maps.app.goo.gl/6BD6QirbkSo4G9S88;Trump Plaza;;;
2100004;;;;;;https://maps.app.goo.gl/d8qJ7ofP6MEnzZZM9;Amaya;;;
2100005;;;;;;https://maps.app.goo.gl/CYG1979aHMNFqBQVA;Trump Tower;;;
200012;;;;;;https://www.google.com/maps?q=24.81770057,46.60172081;Al Majdiah 1;;;
200013;;;;;;https://www.google.com/maps?q=24.81574747,46.60226573;Al Majdiah 2;;;
200014;;;;;;https://www.google.com/maps?q=24.81249712,46.59376782;Al Majdiah 3;;;
200015;;;;;;https://www.google.com/maps?q=24.81207992,46.60199822;Al Majdiah 4;;;
200016;;;;;;https://www.google.com/maps?q=24.82573403,46.59891887;Al Majdiah 5;;;
200017;;;;;;https://www.google.com/maps?q=24.77045489,46.69212566;Al Majdiah 6;;;
200018;;;;;;https://www.google.com/maps?q=24.75486156,46.7553031;Al Majdiah 7;;;
200019;;;;;;https://www.google.com/maps?q=24.81139071,46.5961695;Al Majdiah 8;;;
200020;;;;;;https://www.google.com/maps?q=24.83260278,46.65078;Al Majdiah 9;;;
200021;;;;;;https://www.google.com/maps?q=24.8321045,46.6470456;Al Majdiah 10;;;
200022;;;;;;https://www.google.com/maps?q=24.80788037,46.5920172;Al Majdiah 11;;;
200023;;;;;;https://www.google.com/maps?q=24.76671817,46.72282492;Al Majdiah 12;;;
200024;;;;;;https://www.google.com/maps?q=24.81110846,46.60470807;Al Majdiah 13;;;
200025;;;;;;https://www.google.com/maps?q=24.76916821,46.62611501;Al Majdiah 15;;;
200026;;;;;;https://www.google.com/maps?q=24.75842439,46.6997708;Al Majdiah 16;;;
200027;;;;;;https://www.google.com/maps?q=24.80431152,46.59193036;Al Majdiah 17;;;
200028;;;;;;https://www.google.com/maps?q=24.78410517,46.65006119;Al Majdiah 18;;;
200029;;;;;;https://www.google.com/maps?q=24.82175706,46.62313299;Al Majdiah 19;;;
200030;;;;;;https://www.google.com/maps?q=24.81261775,46.60325382;Al Majdiah 20;;;
200031;;;;;;https://www.google.com/maps?q=24.73312444,46.64432695;Al Majdiah 21;;;
200032;;;;;;https://www.google.com/maps?q=24.83181472,46.64714836;Al Majdiah 22;;;
200033;;;;;;https://www.google.com/maps?q=24.78124576,46.7188147;Al Majdiah 24;;;
200034;;;;;;https://www.google.com/maps?q=24.8133005,46.59516867;Al Majdiah 25;;;
200035;;;;;;https://www.google.com/maps?q=24.80614558,46.59885008;Al Majdiah 27;;;
200036;;;;;;https://www.google.com/maps?q=24.81543771,46.60176027;Al Majdiah 28;;;
200037;;;;;;https://www.google.com/maps?q=24.83294607,46.64984799;Al Majdiah 29;;;
200038;;;;;;https://www.google.com/maps?q=24.83509485,46.65495854;Al Majdiah 30;;;
200039;;;;;;https://www.google.com/maps?q=24.70968833,46.63234598;Al Majdiah 31;;;
200040;;;;;;https://www.google.com/maps?q=24.8232903,46.5975644;Al Majdiah 32;;;
200041;;;;;;https://www.google.com/maps?q=24.77195018,46.69985918;Al Majdiah 33;;;
200042;;;;;;https://www.google.com/maps?q=24.80663036,46.59798542;Al Majdiah 34;;;
200043;;;;;;https://www.google.com/maps?q=24.73654211,46.64528917;Al Majdiah 35;;;
200044;;;;;;https://www.google.com/maps?q=24.77056379,46.69469055;Al Majdiah 36;;;
200045;;;;;;https://www.google.com/maps?q=24.80899834,46.59307643;Al Majdiah 37;;;
200046;;;;;;https://www.google.com/maps?q=24.80834524,46.59308924;Al Majdiah 38;;;
200047;;;;;;https://www.google.com/maps?q=24.76980983,46.5867933;Al Majdiah 39;;;
200048;;;;;;https://www.google.com/maps?q=24.81409829,46.60308496;Al Majdiah 40;;;
200049;;;;;;https://www.google.com/maps?q=24.77087359,46.69552205;Al Majdiah 41;;;
